2021-10-27 14:30:09,742 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:52 | Pytorch cuda available: False
2021-10-27 14:30:09,743 | root | INFO | sample.py:<module>:53 | PyTorch version: 1.10.0
